FIPS,response,Density.per.square.mile.of.land.area...Population,Ave.Tmp,crime_rate_per_100000_scaled,percent.male,percent.disabled,percent.age.65.plus,percent.black,percent.hispanic,Urban_Influence_Code_2013,Unemployment_rate_2018,Median_Household_Income_2018,Percent.of.adults.with.HS.or.less.2014.18,Total.Active.Patient.Care.Physicians.per.100000.Population.2018..AAMC.,Total.Hospitals..2019.,state.testing.rate,days_closing_of_public_venues,days_social_distancing
31049,0,4.4,57.2,51.62622612,0.495890411,0.13264,0.235068493,0.002191781,0.06739726,12,3,47097,43.6,214.5,0.087973781,13649.29219,64,93
42045,1,3040.5,65.33333333,51.60390268,0.481302379,0.116630161,0.163978461,0.224019081,0.039261551,1,4,71961,37.7,273.3,8.775273,9249.195574,81,146
48475,0,12.8,75.35,51.58306652,0.503242321,0.13264,0.139590444,0.050255973,0.543430034,6,2.6,53621,56.5,199.9,0.2135598,12206.45098,49,0
47053,0,82.4,68.23333333,51.55994096,0.47949842,0.13264,0.180711591,0.180548476,0.028218983,6,4.5,42720,53.9,225.8,0.8331118,21323.79406,35,0
45073,0,118.6,68.43333333,51.43580518,0.49196162,0.217355245,0.232168832,0.075905275,0.057455279,5,3.3,50529,46,205,1.063665,13226.40955,47,101
1055,1,195.2,70.48333333,51.38024266,0.484414786,0.180329948,0.190115218,0.157013102,0.040155706,2,4.1,44903,48.4,196.7,2.118018458,13629.40619,44,88
41021,0,1.6,57.55,51.36106831,0.511087645,0.13264,0.278247096,0.003695882,0.069165787,12,3.9,54325,40.9,271.5,0.02756906,9345.177283,59,99
40123,0,52,69.93333333,51.32659507,0.485528277,0.13264,0.165137135,0.024655529,0.054121892,8,3.1,48450,44.6,189.1,1.212473,15327.709,30,0
48011,0,2.1,68.33333333,51.30836326,0.485200846,0.13264,0.239429175,0.011099366,0.079809725,2,2.8,57210,36,199.9,0.03447569,12206.45098,49,0
28079,1,40.8,70.9,51.30616957,0.516276413,0.13264,0.163379168,0.422352063,0.046830383,6,4.9,37212,59.3,174.8,0.754567006,14895.22198,73,91
16061,0,8,52.98333333,51.25576627,0.508417508,0.13264,0.263662264,0.005180005,0.046620047,7,5.5,44911,40.9,181.6,0.099044697,9683.027758,52,97
12087,1,74.3,81.08333333,51.21085513,0.51987951,0.101763365,0.230130486,0.068628627,0.249483519,3,2.6,67094,36,240.7,0.764383801,16420.56144,102,102
48177,1,18.6,77.28333333,51.20126034,0.504993758,0.13264,0.167242869,0.073417843,0.514597138,4,3,49829,65.5,199.9,0.3794877,12206.45098,49,0
45001,0,51.8,71.2,51.18566801,0.483598875,0.13264,0.217717289,0.276965079,0.015402795,5,4,42412,54.4,205,0.3330619,13226.40955,47,101
51640,1,854.7,61.51666667,51.17270789,0.463801962,0.13264,0.201463491,0.068348124,0.158492916,9,3.5,36571,61.9,231.8,0.0723915,12615.00326,98,98
13259,1,13.2,72.78333333,51.12474438,0.660429101,0.13264,0.155508953,0.487336667,0.315373447,6,4.7,33053,70.6,202.9,0.085446755,14245.1139,98,98
38091,0,2.8,50.98333333,51.02040816,0.522858644,0.13264,0.241198108,0.004729375,0.022595901,7,2,66929,32.9,217.1,0.09764405,19825.55225,42,0
24019,0,60.3,67.85,50.82669933,0.475373461,0.13264,0.215982249,0.290174386,0.059472467,5,5.2,48682,52.5,306.1,0.264764962,14538.62924,74,0
42073,0,254.4,59,50.82108515,0.483987747,0.182852966,0.219890003,0.043325907,0.015269656,3,5.1,48418,53.2,273.3,1.339153,9249.195574,48,0
13017,1,70.5,74.58333333,50.81358835,0.474474296,0.13264,0.175075952,0.361053196,0.062250551,8,5.9,35020,61.5,202.9,0.2313913,14245.1139,98,98
24005,1,1345.5,65.35,50.80101821,0.474040687,0.116590277,0.171782562,0.297376607,0.056528546,1,4,75836,35.1,306.1,6.854787862,14538.62924,74,0
31073,0,4.5,59.73333333,50.70993915,0.51252505,0.13264,0.238977956,0.007014028,0.059118236,8,2.5,59722,39.4,214.5,0.096216803,13649.29219,64,93
19057,0,96.9,61.13333333,50.64229249,0.486509275,0.13264,0.208237519,0.060784915,0.030762941,8,3.3,51805,41.2,193.1,1.463267372,14665.6651,105,105
12093,1,52,78.48333333,50.59750826,0.536605918,0.13264,0.197847702,0.090497629,0.254544141,3,3.7,42258,63.4,240.7,0.423183786,16420.56144,102,102
21229,0,39.4,65.16666667,50.52631579,0.494869249,0.13264,0.180072824,0.055776233,0.046011255,9,3.7,50246,58.7,214.6,0.283953861,12721.18617,105,105
45057,0,139.6,70.4,50.46111014,0.48508073,0.120633256,0.210306144,0.215936255,0.055829314,1,3.8,58035,45.5,205,1.294464,13226.40955,47,101
19111,0,69.3,61.46666667,50.44560283,0.503920129,0.13264,0.203112612,0.031742769,0.036147409,8,4,48241,48.8,193.1,1.273227307,14665.6651,105,105
8014,0,1691.9,58.76666667,50.44475459,0.497220899,0.069513621,0.138478641,0.015144297,0.126048479,1,2.9,96924,17.9,262.5,1.082379726,8893.913525,43,103
22019,1,181.2,74.71666667,50.43626086,0.488956832,0.159581906,0.147982394,0.256809051,0.037742723,2,3.8,50531,47.3,231.8,6.886662555,27859.50507,45,139
31185,0,23.9,60.56666667,50.42137866,0.489544002,0.13264,0.203311066,0.016700552,0.05307871,6,2.5,61478,35.8,214.5,0.663876662,13649.29219,64,93
48381,0,132.4,66.9,50.36608315,0.491843459,0.101723771,0.150699709,0.035363357,0.222666598,2,2.6,69600,30,199.9,2.483106,12206.45098,49,0
22089,1,189.1,76.15,50.36395081,0.490553906,0.13264,0.135668224,0.26519034,0.063011782,1,4.4,67585,45.3,231.8,1.792901597,27859.50507,45,139
13009,1,177.3,72.91666667,50.17485176,0.507373447,0.13264,0.160118689,0.425964349,0.022265355,5,5,42727,52,202.9,0.617838343,14245.1139,98,98
