FIPS,County_Equivalent,POP_ESTIMATE_2018.x,pop.density.percentile,case.rate,case.rate.percentile,response,percent_race,race
27011,Big Stone,4989,0.182411436,4.409701343,0.304583068,0,0.02264983,hispanic
2013,Aleutians East,3515,0.006836544,0.568990043,0.026416295,0,0.147083926,hispanic
38047,Logan,1903,0.047855811,3.678403,0.239338001,0,0.023646873,hispanic
31071,Garfield,1987,0.085767557,1.50981379,0.06683641,0,0.014091595,hispanic
29171,Putnam,4757,0.172156619,2.732814799,0.160725652,0,0.022072735,hispanic
31015,Boyd,1955,0.091361094,2.046035806,0.106301719,0,0.022506394,hispanic
37075,Graham,8484,0.371348664,4.59688826,0.319541693,0,0.037600189,hispanic
31069,Garden,1897,0.026413922,2.108592514,0.111394017,0,0.058513442,hispanic
38033,Golden Valley,1769,0.040087011,2.261164,0.123806493,0,0.029395138,hispanic
27125,Red Lake,3999,0.170292107,6.001500375,0.411203055,0,0.040010003,hispanic
30075,Powder River,1716,0.008390305,0.582750583,0.027371101,0,0.018065268,hispanic
46119,Sully,1392,0.031385954,2.155172,0.116804583,0,0.024425287,hispanic
46021,Campbell,1377,0.047855811,2.178649,0.118714195,0,0.02033406,hispanic
35033,Mora,4506,0.060285892,1.331557923,0.056015277,0,0.809809143,hispanic
49017,Garfield,5080,0.021441889,0,0.017186505,0,0.062598425,hispanic
31057,Dundy,1770,0.053760099,0.564971751,0.025779758,0,0.081920904,hispanic
46069,Hyde,1282,0.040087011,2.340094,0.131763208,0,0.014040562,hispanic
17059,Gallatin,5058,0.247047856,10.08303677,0.60821133,0,0.017200474,hispanic
17171,Scott,4926,0.286513362,4.263093788,0.29026098,0,0.012992286,hispanic
48197,Hardeman,3922,0.126476072,4.589495,0.319223425,0,0.23763386,hispanic
17013,Calhoun,4802,0.272840273,1.874219075,0.094844048,0,0.01270304,hispanic
38083,Sheridan,1349,0.031385954,5.930319,0.405792489,0,0.012601927,hispanic
48271,Kinney,3767,0.062461156,5.043801,0.349140675,0,0.601539687,hispanic
40025,Cimarron,2153,0.028278434,0.4644682,0.021960535,0,0.223873665,hispanic
30033,Garfield,1268,0.005593536,9.463722397,0.585932527,0,0.008675079,hispanic
30011,Carter,1238,0.005593536,0,0.017186505,0,0.013731826,hispanic
48105,Crockett,3499,0.028278434,44.29837,0.985041375,1,0.663046585,hispanic
17151,Pope,4212,0.193598508,2.136752137,0.113940165,0,0.015906933,hispanic
48081,Coke,3370,0.085767557,12.46291,0.69127944,0,0.214836795,hispanic
48295,Lipscomb,3355,0.082970789,5.365127,0.374920433,0,0.34485842,hispanic
46075,Jones,928,0.021441889,2.155172,0.116804583,0,0.023706897,hispanic
31165,Sioux,1187,0.010565569,4.212299916,0.284213877,0,0.057287279,hispanic
48421,Sherman,3079,0.078309509,12.99123,0.709102482,0,0.439103605,hispanic
30109,Wibaux,1034,0.02454941,2.901353965,0.174729472,0,0.040618956,hispanic
48087,Collingsworth,2962,0.078309509,3.713707,0.242520687,0,0.338622552,hispanic
21201,Robertson,2135,0.302672467,1.405152225,0.060152769,0,0.014051522,hispanic
38007,Billings,919,0.012740833,2.176278564,0.118395926,0,0.019586507,hispanic
2164,Lake and Peninsula,1587,0.001864512,0,0.017186505,0,0.035286704,hispanic
31085,Hayes,916,0.031385954,0,0.017186505,0,0.046943231,hispanic
28055,Issaquena,1308,0.081106277,19.87767584,0.844684914,1,0.016819572,hispanic
13125,Glascock,2995,0.288688626,8.013355593,0.521642266,0,0.019365609,hispanic
38087,Slope,763,0.010565569,3.931848,0.259388924,0,0.038007864,hispanic
31103,Keya Paha,810,0.02454941,0,0.017186505,0,0.007407407,hispanic
31183,Wheeler,805,0.031385954,1.242236025,0.052196053,0,0.017391304,hispanic
31113,Logan,749,0.028278434,0,0.017186505,0,0.024032043,hispanic
30103,Treasure,679,0.012740833,2.9455081,0.178866964,0,0.038291605,hispanic
31007,Banner,730,0.018334369,4.109589041,0.275302355,0,0.057534247,hispanic
31171,Thomas,720,0.018334369,1.388888889,0.058879694,0,0.026388889,hispanic
31091,Hooker,682,0.021441889,5.865102639,0.401336728,0,0.029325513,hispanic
31075,Grant,660,0.015537601,0,0.017186505,0,0.012121212,hispanic
31115,Loup,618,0.02454941,0,0.017186505,0,0.03236246,hispanic
48045,Briscoe,1516,0.043505283,7.915567,0.514958625,0,0.248021108,hispanic
30069,Petroleum,513,0.005593536,0,0.017186505,0,0.021442495,hispanic
48101,Cottle,1389,0.040087011,12.95896,0.707829408,0,0.24550036,hispanic
49031,Piute,1445,0.051274083,0,0.017186505,0,0.074740484,hispanic
31117,McPherson,492,0.010565569,10.16260163,0.612667091,0,0.010162602,hispanic
31009,Blaine,476,0.012740833,0,0.017186505,0,0.016806723,hispanic
48345,Motley,1234,0.026413922,4.862237,0.337683004,0,0.183144246,hispanic
31005,Arthur,465,0.010565569,2.150537634,0.116168046,0,0.043010753,hispanic
16033,Clark,852,0.010565569,9.389671362,0.582749841,0,0.444835681,hispanic
2282,Yakutat,604,0.001864512,11.58940397,0.664544876,0,0.046357616,hispanic
49009,Daggett,980,0.034804226,0,0.017186505,0,0.040816327,hispanic
8053,Hinsdale,811,0.015537601,3.699136868,0.24188415,0,0.060419236,hispanic
8079,Mineral,776,0.015537601,23.19587629,0.888605983,1,0.06443299,hispanic
48269,King,277,0.005593536,0,0.017186505,0,0.155234657,hispanic
48301,Loving,152,0.001864512,0,0.017186505,0,0.164473684,hispanic
13053,Chattahoochee,10684,0.489434431,71.22800449,0.997135582,1,0.160614002,hispanic
13101,Echols,4000,0.173088875,55.5,0.994271165,1,0.301,hispanic
15005,Kalawao,88,0.144810441,0,0.017186505,0,0.011363636,hispanic
35013,Doña Ana,217522,0.550341827,11.24943684,0.655951623,0,0,hispanic
2198,Prince of Wales-Hyder,6422,0.031385954,1.245717845,0.052514322,0,0.036904391,hispanic
2195,Petersburg,3221,0.026413922,1.862775536,0.094207511,0,0.060229742,hispanic
2275,Wrangell,2503,0.018334369,3.595685178,0.23265436,0,0.029964043,hispanic
2105,Hoonah-Angoon,2151,0.005593536,0,0.017186505,0,0.063691306,hispanic
2068,Denali,2059,0.001864512,0.485672657,0.023551878,0,0.032054395,hispanic
2230,Skagway,1148,0.051274083,0,0.017186505,0,0.054878049,hispanic
42131,Wyoming,27046,0.620261032,2.218443,0.120623806,0,0.0048436,aisan
31145,Red Willow,10726,0.229334991,1.491702405,0.065563335,0,0.004754801,aisan
29155,Pemiscot,16272,0.429770044,14.38053097,0.738064927,0,0.004609145,aisan
20069,Gray,6033,0.137663145,12.76313608,0.699872693,0,0.004475385,aisan
51720,Norton ,3968,0.908017402,4.53629,0.314131127,0,0.01890121,aisan
51095,James,76397,0.898694842,7.958428,0.518141311,0,0.027016768,aisan
40083,Logan,47291,0.55686762,4.652048,0.323360917,0,0.006703178,aisan
53017,Douglas,42907,0.284338098,22.0943,0.876511776,1,0.011233598,aisan
17177,Stephenson,44753,0.664077067,7.30677273,0.484723106,0,0.006658771,aisan
47137,Pickett,5082,0.383157241,6.887052,0.464672183,0,0.000983865,aisan
51097,King and Queen,7042,0.294903667,5.964215,0.409611712,0,0.004544164,aisan
18063,Hendricks,167009,0.873213176,11.29879228,0.658179504,0,0.029848691,aisan
27091,Martin,19785,0.362026103,10.46247157,0.623169955,0,0.006722264,aisan
42027,Centre,162805,0.762585457,2.284942,0.12667091,0,0.065986917,aisan
17103,Lee,34223,0.522063393,4.996639687,0.346276257,0,0.008444613,aisan
29215,Texas,25571,0.296457427,2.033553635,0.105028644,0,0.003558719,aisan
38067,Pembina,6947,0.134244873,3.88657,0.255569701,0,0.004318411,aisan
22047,Iberville,32721,0.544126787,37.80446808,0.972628899,1,0.004492528,aisan
51169,Scott,21534,0.476072094,4.225875,0.284850414,0,0.001903966,aisan
36035,Fulton,53591,0.728402735,5.523315482,0.385105029,0,0.006960124,aisan
42005,Armstrong,65263,0.714729646,3.248395,0.203055379,0,0.003064524,aisan
1023,Choctaw,12841,0.227470479,22.03878203,0.875875239,1,0.001791138,aisan
30087,Rosebud,9063,0.043505283,3.751517158,0.244112031,0,0.011033874,aisan
21193,Perry,26092,0.664077067,8.585006899,0.548695099,0,0.005480607,aisan
21085,Grayson,26321,0.532628962,7.636487975,0.498090388,0,0.002621481,aisan
39069,Henry,27086,0.605344935,4.319575,0.295989815,0,0.00527948,aisan
46095,Mellette,2042,0.038222498,11.75318,0.669955442,0,0.00244858,aisan
21001,Adair,19215,0.494406464,10.46057767,0.622851687,0,0.004163414,aisan
21191,Pendleton,14529,0.542883779,3.028425907,0.188415022,0,0.002340147,aisan
5119,Pulaski,392680,0.904288378,14.21513701,0.733609166,0,0.023298869,aisan
21219,Todd,12311,0.399627098,2.842985948,0.171228517,0,0.002924214,aisan
16025,Camas,1127,0.021441889,0.887311446,0.036600891,0,0.004436557,aisan
4001,Apache,71818,0.130205096,44.45960623,0.985677912,1,0.00449748,aisan
5069,Jefferson,68114,0.676507147,22.52106762,0.882240611,1,0.008661949,aisan
54017,Doddridge,8406,0.333436917,0.7137759,0.032463399,0,0.003925767,aisan
5091,Miller,43592,0.612802983,11.74527436,0.669318905,0,0.005023858,aisan
51187,Warren,40003,0.794592915,8.874334,0.562062381,0,0.013448991,aisan
5117,Prairie,8074,0.209136109,11.2707456,0.656906429,0,0.001362398,aisan
40101,Muskogee,68362,0.673399627,7.401773,0.487587524,0,0.006582604,aisan
40035,Craig,14306,0.269422001,5.731861,0.395289624,0,0.006430868,aisan
45011,Barnwell,21112,0.461777502,19.56233,0.837683004,1,0.009189087,aisan
28027,Coahoma,22628,0.506836544,33.58670674,0.957988542,1,0.004861234,aisan
22105,Tangipahoa,133777,0.775637042,25.9910149,0.915658816,1,0.007587253,aisan
48359,Oldham,2131,0.031385954,6.569686,0.447167409,0,0.014077898,aisan
28097,Montgomery,10023,0.34307023,32.52519206,0.951941439,1,0.006983937,aisan
39053,Gallia,29979,0.599129894,2.168184,0.118077658,0,0.007104973,aisan
31025,Cass,26159,0.489434431,6.804541458,0.459579885,0,0.00477847,aisan
17043,DuPage,928589,0.986016159,13.17375071,0.7119669,0,0.126184997,aisan
39007,Ashtabula,97493,0.770043505,5.836316,0.399745385,0,0.005118316,aisan
45067,Marion,31039,0.604412679,17.84851,0.812221515,1,0.006669029,aisan
22003,Allen,25605,0.402734618,49.83401679,0.991725016,1,0.006678383,aisan
56033,Sheridan,30233,0.190490988,2.447657,0.140356461,0,0.008236033,aisan
27103,Nicollet,34220,0.627408328,9.848042081,0.602482495,0,0.017182934,aisan
5135,Sharp,17366,0.357364823,6.506967638,0.443984723,0,0.005528043,aisan
2070,Dillingham,5000,0.005593536,0.2,0.017823043,0,0.009,aisan
48159,Franklin,10766,0.4307023,8.545421,0.546785487,0,0.009845811,aisan
21167,Mercer,21774,0.668738347,3.811885735,0.24888606,0,0.006659318,aisan
21051,Clay,20105,0.497513984,7.560308381,0.493952896,0,0.001840338,aisan
40005,Atoka,13838,0.220633934,5.058534,0.350095481,0,0.006720624,aisan
39135,Preble,40997,0.702299565,4.951582,0.343730108,0,0.006219967,aisan
46071,Jackson,3307,0.038222498,3.326278,0.212603437,0,0.001511944,aisan
34003,Bergen,936692,0.991298943,22.19939959,0.877148313,1,0.169253074,aisan
27147,Steele,36803,0.666563083,9.45575089,0.58529599,0,0.010923023,aisan
28007,Attala,18365,0.342137974,28.42363191,0.930617441,1,0.00386605,aisan
38057,Mercer,8267,0.152579242,3.507923,0.226925525,0,0.006048143,aisan
13095,Dougherty,91243,0.849906774,29.52555265,0.936028008,1,0.010050086,aisan
27041,Douglas,37964,0.558110628,3.793067116,0.248249523,0,0.005136445,aisan
40019,Carter,48177,0.564014916,7.015796,0.470401018,0,0.013512672,aisan
42039,Crawford,85063,0.673710379,1.692863,0.080521961,0,0.006312968,aisan
28089,Madison,105630,0.756370416,22.92909211,0.885423297,1,0.026962037,aisan
54025,Greenbrier,34786,0.409571162,2.673489,0.155315086,0,0.006238142,aisan
18077,Jefferson,32208,0.680546924,5.060854446,0.350732018,0,0.008072529,aisan
26049,Genesee,406892,0.922622747,8.965524021,0.566518141,0,0.010521219,aisan
51099,King George,26575,0.753262896,5.418627,0.379694462,0,0.015390405,aisan
27057,Hubbard,21332,0.296457427,1.546971686,0.069700827,0,0.006141009,aisan
